Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.86585158770589166,1.2064744213504397E-3,,,,,,,0.86585158770589166,1.2064744213504397E-3,,,,,,,,,,,,
2,mnli,16,lora,2,0.86031584309730003,0.85960205561818703,0.12583747506141599,,,1,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora-seed2-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
3,mnli,16,lora,3,0.86051961283749301,0.85997280411381105,0.126627087593078,,,1,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora-seed3-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.86034980472066547,,,,,,,,,,,,,,,,,,
,,,,std,1.2707275893252486E-4,,,,,,,,,,,,,,,,,,
4,mnli,16,flat_lora,1,0.86133469179826705,0.86068425663499104,0.126153543591499,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-flat_lora-seed1-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
5,mnli,16,flat_lora,2,0.85899133978604103,0.85829019192866896,0.125948876142501,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-flat_lora-seed2-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
6,mnli,16,flat_lora,3,0.85807437595517,0.85749020991935998,0.127110600471496,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-flat_lora-seed3-e1-lr0.0003-pac3e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.85946680251315932,,,,,,,,,,,,,,,,,,
,,,,std,1.3728227496285421E-3,,,,,,,,,,,,,,,,,,
7,mnli,16,lora_pacf,1,0.86113092205807396,0.86043051093228196,0.125925913453102,1.7539332651234901E-4,1.75376343571282E-4,1,0.05,3.05E-6,0.40150000000000002,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora_pacf-seed1-e1-lr0.0003-pac3.05e-06-pv1.0-wr0.4015-drop0.05-wd0.0-mnli_matched,
8,mnli,16,lora_pacf,2,0.85990830361691195,0.85926121167020997,0.12643590569496099,1.7569221410096799E-4,1.7567553551368399E-4,1,0.05,3.05E-6,0.40150000000000002,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora_pacf-seed2-e1-lr0.0003-pac3.05e-06-pv1.0-wr0.4015-drop0.05-wd0.0-mnli_matched,
9,mnli,16,lora_pacf,3,0.86062149770759,0.85999000278692295,0.127051010727882,1.7606393963682799E-4,1.76074458103553E-4,1,0.05,3.05E-6,0.40150000000000002,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,matched,mnli-r16-lora_pacf-seed3-e1-lr0.0003-pac3.05e-06-pv1.0-wr0.4015-drop0.05-wd0.0-mnli_matched,
,,,,mean,0.86055357446085867,,,,,,,,,,,,,,,,,,
,,,,std,5.0143735983154789E-4,,,,,,,,,,,,,,,,,,
