Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.93355299286106508,1.0462156446082701E-3,,,,,,,0.93355299286106508,1.0462156446082701E-3,,,,,,,,,,,,
2,qnli,16,lora,2,0.93538348892549805,0.93620097596240703,3.3898834139108602E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora-seed2-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
3,qnli,16,lora,3,0.93556653853194205,0.93583667517316804,3.4040160477161401E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora-seed3-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93471230703520602,,,,,,,,,,,,,,,,,,
,,,,std,1.081215763418853E-3,,,,,,,,,,,,,,,,,,
4,qnli,16,flat_lora,2,0.93520043931905505,0.93589279246649704,3.37259918451309E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-flat_lora-seed2-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
5,qnli,16,flat_lora,1,0.93391909207395196,0.934063926940639,3.3724114298820398E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-flat_lora-seed1-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
6,qnli,16,flat_lora,3,0.93391909207395196,0.93420812830326205,3.33879254758358E-2,,,1,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-flat_lora-seed3-e1-lr0.0003-pac4e-05-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93434620782231959,,,,,,,,,,,,,,,,,,
,,,,std,6.0403288404473196E-4,,,,,,,,,,,,,,,,,,
7,qnli,16,lora_pacf,2,0.93666483617060203,0.93743218806509898,3.3985849469900103E-2,4.7923948347957999E-5,4.7920576108047297E-5,1,0.05,1.0000000000000001E-5,0.36,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora_pacf-seed2-e1-lr0.0003-pac1e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
8,qnli,16,lora_pacf,1,0.93483434010616795,0.93520203858755002,3.3395521342754302E-2,4.95487775385769E-5,4.9566131791258102E-5,1,0.05,1.0000000000000001E-5,0.36,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora_pacf-seed1-e1-lr0.0003-pac1e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
9,qnli,16,lora_pacf,3,0.93428519128683796,0.93445316779258702,3.3993009477853699E-2,4.76697885912228E-5,4.7671249489378997E-5,1,0.05,1.0000000000000001E-5,0.36,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,qnli-r16-lora_pacf-seed3-e1-lr0.0003-pac1e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
,,,,mean,0.93526145585453602,,,,,,,,,,,,,,,,,,
,,,,std,1.0173489535992136E-3,,,,,,,,,,,,,,,,,,
