Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.888071895424836,6.4330129689638043E-3,,,,,,,0.888071895424836,6.4330129689638043E-3,,,,,,,,,,,,
2,mrpc,16,lora,2,0.875,0.91161178509532004,0.17097285389900199,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora-seed2-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
3,mrpc,16,lora,3,0.875,0.91005291005291,0.167431250214576,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora-seed3-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.87663398692810424,,,,,,,,,,,,,,,,,,
,,,,std,2.3108064744655193E-3,,,,,,,,,,,,,,,,,,
4,mrpc,16,flat_lora,2,0.87254901960784303,0.90909090909090895,0.15534183382987901,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-flat_lora-seed2-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
5,mrpc,16,flat_lora,1,0.88235294117647001,0.91608391608391604,0.176071241497993,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-flat_lora-seed1-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
6,mrpc,16,flat_lora,3,0.87990196078431304,0.91448516579406602,0.16092626750469199,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-flat_lora-seed3-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.87826797385620869,,,,,,,,,,,,,,,,,,
,,,,std,4.165865615680147E-3,,,,,,,,,,,,,,,,,,
7,mrpc,16,lora_pacf,2,0.87990196078431304,0.91418563922942198,0.16153809428214999,9.0856512923256195E-5,9.0854619842728706E-5,10,0.05,7.9999999999999996E-6,0.3,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora_pacf-seed2-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
8,mrpc,16,lora_pacf,1,0.87745098039215597,0.91258741258741205,0.15621925890445701,9.0132680496359102E-5,9.0156505310457494E-5,10,0.05,7.9999999999999996E-6,0.3,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora_pacf-seed1-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
9,mrpc,16,lora_pacf,3,0.88235294117647001,0.91549295774647799,0.16088841855525901,8.8488865716784606E-5,8.8510949627246702E-5,10,0.05,7.9999999999999996E-6,0.3,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,mrpc-r16-lora_pacf-seed3-e10-lr0.0003-pac8e-06-pv1.0-wr0.3-drop0.05-wd0.0-mnli_na,
,,,,mean,0.87990196078431293,,,,,,,,,,,,,,,,,,
,,,,std,2.0012171101171043E-3,,,,,,,,,,,,,,,,,,
