Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.82837967401725765,4.142371811062761E-3,,,,,,,0.82837967401725765,4.142371811062761E-3,,,,,,,,,,,,
3,cola,16,lora,3,0.83221476510067105,0.88494411571334597,0.31159681081771801,,,10,,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora-seed3-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
,,,,mean,0.83061681048258207,,,,,,,,,,,,,,,,,,
,,,,std,1.1957997401004299E-3,,,,,,,,,,,,,,,,,,
4,cola,16,flat_lora,2,0.82550335570469802,0.88042049934296895,0.31695008277893,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-flat_lora-seed2-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
5,cola,16,flat_lora,1,0.83988494726749696,0.88962326503635103,0.29843473434448198,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-flat_lora-seed1-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
6,cola,16,flat_lora,3,0.837008628954937,0.887417218543046,0.28969165682792603,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-flat_lora-seed3-e10-lr0.0003-pac1.3e-05-pv1.0-wr0.44-drop0.05-wd0.0-mnli_na,
,,,,mean,0.83413231064237736,,,,,,,,,,,,,,,,,,
,,,,std,6.2135577165939879E-3,,,,,,,,,,,,,,,,,,
7,cola,16,lora_pacf,2,0.837008628954937,0.88771466314398895,0.30487823486328097,1.2207598565450601E-4,1.220703125E-4,10,0.05,1.1E-5,0.34,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora_pacf-seed2-e10-lr0.0003-pac1.1e-05-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
8,cola,16,lora_pacf,1,0.82837967401725698,0.88293001962066697,0.32526016235351501,1.23206623434241E-4,1.2321721494587399E-4,10,0.05,1.1E-5,0.34,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora_pacf-seed1-e10-lr0.0003-pac1.1e-05-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
9,cola,16,lora_pacf,3,0.84180249280920405,0.89194499017681705,0.31062570214271501,1.23117228641229E-4,1.2311748429840599E-4,10,0.05,1.1E-5,0.34,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,cola-r16-lora_pacf-seed3-e10-lr0.0003-pac1.1e-05-pv1.0-wr0.34-drop0.05-wd0.0-mnli_na,
,,,,mean,0.83573026526046601,,,,,,,,,,,,,,,,,,
,,,,std,5.5538981134495647E-3,,,,,,,,,,,,,,,,,,
