Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,,,,
,Full,0.93692660550458662,2.4773473617764759E-3,,,,,,,0.93692660550458662,2.4773473617764759E-3,,,,,,,,,,,,
3,sst2,16,lora,3,0.94610091743119196,0.94771968854282496,0.11476481705904,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora-seed3-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
,,,,mean,0.94533639143730819,,,,,,,,,,,,,,,,,,
,,,,std,1.0812030293370391E-3,,,,,,,,,,,,,,,,,,
4,sst2,16,flat_lora,2,0.94036697247706402,0.94209354120267197,0.110203452408313,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-flat_lora-seed2-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
5,sst2,16,flat_lora,1,0.94724770642201805,0.94843049327354201,0.13489976525306699,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-flat_lora-seed1-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
6,sst2,16,flat_lora,3,0.95068807339449501,0.95206243032329896,0.100243762135505,,,10,0.05,,,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-flat_lora-seed3-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.36-drop0.05-wd0.0-mnli_na,
,,,,mean,0.94610091743119229,,,,,,,,,,,,,,,,,,
,,,,std,4.2908914985938891E-3,,,,,,,,,,,,,,,,,,
7,sst2,16,lora_pacf,2,0.95298165137614599,0.95418994413407798,0.10624361783266,1.4663373235783501E-4,1.46653917100694E-4,10,0.05,1.7E-5,0.38,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora_pacf-seed2-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.38-drop0.05-wd0.0-mnli_na,
8,sst2,16,lora_pacf,1,0.94610091743119196,0.94725028058361305,0.102107420563697,1.4662569741797599E-4,1.4660405177695999E-4,10,0.05,1.7E-5,0.38,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora_pacf-seed1-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.38-drop0.05-wd0.0-mnli_na,
9,sst2,16,lora_pacf,3,0.94380733944954098,0.94525139664804403,0.10210406035184801,1.4632443586985199E-4,1.4630485983455801E-4,10,0.05,1.7E-5,0.38,32,16,t5-base,0.05,0,2.9999999999999997E-4,cosine,na,sst2-r16-lora_pacf-seed3-e10-lr0.0003-pac1.7e-05-pv1.0-wr0.38-drop0.05-wd0.0-mnli_na,
,,,,mean,0.94762996941895972,,,,,,,,,,,,,,,,,,
,,,,std,3.8983329614621976E-3,,,,,,,,,,,,,,,,,,
